cluster_id,domain,image_id,sample_fingerprint,sha256,size_bytes
0000001,lower_occlusion,images__val__0000001_03499_d_0000006.jpg,e8585cff10c927e5d08c23d46c50c798889d6f8979aa71a56a5b9bb4af628672,e8585cff10c927e5d08c23d46c50c798889d6f8979aa71a56a5b9bb4af628672,437855
0000021,lower_occlusion,images__val__0000021_00800_d_0000003.jpg,088d30785f0f8defbbf4b0de8c20c1a200a74758532435cd2936e63be6711154,088d30785f0f8defbbf4b0de8c20c1a200a74758532435cd2936e63be6711154,92381
0000026,lower_occlusion,images__val__0000026_02500_d_0000029.jpg,e05a504c45eb933ea1dce333cdec75f44572754f3c61e2b2502bf84db2cc1d3a,e05a504c45eb933ea1dce333cdec75f44572754f3c61e2b2502bf84db2cc1d3a,167200
0000103,lower_occlusion,images__val__0000103_04513_d_0000034.jpg,601699857a77acecd6d9e57552b123846b4e634bb2cb67998855d840b5ead0c8,601699857a77acecd6d9e57552b123846b4e634bb2cb67998855d840b5ead0c8,101470
0000116,lower_occlusion,images__val__0000116_00819_d_0000084.jpg,4ea4fc9db3f8738b5d81b3efe082844a77ec32d3a070d303ef89f0d620eeb278,4ea4fc9db3f8738b5d81b3efe082844a77ec32d3a070d303ef89f0d620eeb278,70706
0000153,lower_occlusion,images__val__0000153_00401_d_0000001.jpg,b93498da5e37edcd94718c6904ed30093eef159f59875c83adc315b0a03c493c,b93498da5e37edcd94718c6904ed30093eef159f59875c83adc315b0a03c493c,78607
0000215,lower_occlusion,images__val__0000215_02667_d_0000262.jpg,d0d050cef175770a0ea4f3b3f063b9cf4e8795e76942e02a90cda5cf4cc036fe,d0d050cef175770a0ea4f3b3f063b9cf4e8795e76942e02a90cda5cf4cc036fe,117607
0000244,lower_occlusion,images__val__0000244_02500_d_0000006.jpg,52575cd332519cd96cacfe3d026383892672a16bfab312e9b120e5bb4bcc0798,52575cd332519cd96cacfe3d026383892672a16bfab312e9b120e5bb4bcc0798,95206
0000249,lower_occlusion,images__val__0000249_01100_d_0000004.jpg,0ce81dbe536642d0e179ce10049a208ef476dd13fe15d3db7e1c80054c6cc748,0ce81dbe536642d0e179ce10049a208ef476dd13fe15d3db7e1c80054c6cc748,140826
0000271,lower_occlusion,images__val__0000271_00201_d_0000375.jpg,df17f709394604d2e53d7a13bc752f57df97ba790d1bfd9d0480bd81b0597ad6,df17f709394604d2e53d7a13bc752f57df97ba790d1bfd9d0480bd81b0597ad6,161710
0000276,lower_occlusion,images__val__0000276_00401_d_0000509.jpg,eee7ff103cf14f14cfee03dc02178eca00ac26c893b4d0faad801fd50b13b045,eee7ff103cf14f14cfee03dc02178eca00ac26c893b4d0faad801fd50b13b045,162541
0000277,lower_occlusion,images__val__0000277_00001_d_0000539.jpg,d72c4d0e32be1d85bdf75c580ccbf5656e3faf915df05bec06d2f856d20cf81b,d72c4d0e32be1d85bdf75c580ccbf5656e3faf915df05bec06d2f856d20cf81b,123080
0000280,lower_occlusion,images__val__0000280_02601_d_0000625.jpg,699e555f74224ce5aed63cacbf94f495465da2cf16f1a1df9d829f4f3c9b3e10,699e555f74224ce5aed63cacbf94f495465da2cf16f1a1df9d829f4f3c9b3e10,192889
0000287,lower_occlusion,images__val__0000287_04601_d_0000780.jpg,1a47b573fc800844a71116e8524fa8e32ecc9fb19142fca8ab66dcaea89a10e8,1a47b573fc800844a71116e8524fa8e32ecc9fb19142fca8ab66dcaea89a10e8,173835
0000289,lower_occlusion,images__val__0000289_07001_d_0000846.jpg,3f659231c78b1c2b77fe64a3fdd2e7842e89be3dceb208e9a4a412377301d5d0,3f659231c78b1c2b77fe64a3fdd2e7842e89be3dceb208e9a4a412377301d5d0,183701
0000291,lower_occlusion,images__val__0000291_02201_d_0000879.jpg,888abd296fa6d940b63b968d73a2d14e3234678876168b77ea54428081a47c24,888abd296fa6d940b63b968d73a2d14e3234678876168b77ea54428081a47c24,192326
0000295,lower_occlusion,images__val__0000295_00200_d_0000022.jpg,320353f2be9c766a6ce20a4f3b1148f97886a80c6782110f410380cf28189c66,320353f2be9c766a6ce20a4f3b1148f97886a80c6782110f410380cf28189c66,180136
0000301,lower_occlusion,images__val__0000301_01001_d_0000161.jpg,9c414c5aaf2552182ff375d8979e33670d3f2cf006965877f460e3d00ec02c29,9c414c5aaf2552182ff375d8979e33670d3f2cf006965877f460e3d00ec02c29,136294
0000316,lower_occlusion,images__val__0000316_01001_d_0000524.jpg,351d62e821f30b47a0b12d638a4f80ae7e1d9201d9bcefe5d6942ef4866a0857,351d62e821f30b47a0b12d638a4f80ae7e1d9201d9bcefe5d6942ef4866a0857,112336
0000327,lower_occlusion,images__val__0000327_00001_d_0000711.jpg,e68b6758ed1a16b3d6ab3083723edc3cdabe80811f21369225f88b20b57dd59f,e68b6758ed1a16b3d6ab3083723edc3cdabe80811f21369225f88b20b57dd59f,137689
0000330,lower_occlusion,images__val__0000330_03201_d_0000816.jpg,e97d801f368bfa4a7a0d8ce35a4893add84b04470c81c343833c24e88eb0380d,e97d801f368bfa4a7a0d8ce35a4893add84b04470c81c343833c24e88eb0380d,113097
0000335,lower_occlusion,images__val__0000335_00589_d_0000046.jpg,cc5874be4ca2541acaf43ce07d1e6a5c95ab3a490dcb97f5e874f64340175dbd,cc5874be4ca2541acaf43ce07d1e6a5c95ab3a490dcb97f5e874f64340175dbd,116965
0000356,lower_occlusion,images__val__0000356_04901_d_0000654.jpg,8da8ca98e65518a75aa50e7a7cc6157912d06c2d2e9ac138b05414df9ecc9519,8da8ca98e65518a75aa50e7a7cc6157912d06c2d2e9ac138b05414df9ecc9519,121877
0000360,lower_occlusion,images__val__0000360_04117_d_0000734.jpg,7f69b0d31082b084e4603e54d84faa316e469fa6b19d7d6b7497ed226ed09791,7f69b0d31082b084e4603e54d84faa316e469fa6b19d7d6b7497ed226ed09791,73995
0000364,lower_occlusion,images__val__0000364_01373_d_0000780.jpg,899983b24774723fb65c0a595ff10240517021d375f19191df4503f51e510eed,899983b24774723fb65c0a595ff10240517021d375f19191df4503f51e510eed,99974
0000001,higher_occlusion,images__val__0000001_03999_d_0000007.jpg,d308e68fe81e3f88502ac8d71b8297a8c80ca1d0d744d6cac25727fd567d2b3f,d308e68fe81e3f88502ac8d71b8297a8c80ca1d0d744d6cac25727fd567d2b3f,424551
0000021,higher_occlusion,images__val__0000021_00500_d_0000002.jpg,9425b639d79cbbb99e686178b5035bf2fd252436baa776cfe2440a38e4f0c94c,9425b639d79cbbb99e686178b5035bf2fd252436baa776cfe2440a38e4f0c94c,84927
0000026,higher_occlusion,images__val__0000026_04500_d_0000033.jpg,2a13f37ab359e61a360fa0d69291f97c57a1b90b99a98d7b7746291df0beeec9,2a13f37ab359e61a360fa0d69291f97c57a1b90b99a98d7b7746291df0beeec9,194246
0000103,higher_occlusion,images__val__0000103_04122_d_0000033.jpg,d1bf120e3a041d65179fa6d48532b4bfbe10067f3a469a2d656e2049744ac3e2,d1bf120e3a041d65179fa6d48532b4bfbe10067f3a469a2d656e2049744ac3e2,123396
0000116,higher_occlusion,images__val__0000116_00351_d_0000083.jpg,30c4bfe7bbd1273f875268c8eb7181c43a0f6ef141bf69c86ff4baf83dc404cd,30c4bfe7bbd1273f875268c8eb7181c43a0f6ef141bf69c86ff4baf83dc404cd,70585
0000153,higher_occlusion,images__val__0000153_01801_d_0000001.jpg,21aa6211aa97bfd40efaddf1a6fd874717854c139989ee19335f31ddae51cce0,21aa6211aa97bfd40efaddf1a6fd874717854c139989ee19335f31ddae51cce0,93291
0000215,higher_occlusion,images__val__0000215_00909_d_0000258.jpg,c9737b593635a9a14803c17aba948ac3a9b5f683c0a2005e0d7482ae77afb86a,c9737b593635a9a14803c17aba948ac3a9b5f683c0a2005e0d7482ae77afb86a,121464
0000244,higher_occlusion,images__val__0000244_03500_d_0000008.jpg,d175f4e5c81611468f8a0fbe61783cbdbf15396f750974a3ba4a5bd437a115c7,d175f4e5c81611468f8a0fbe61783cbdbf15396f750974a3ba4a5bd437a115c7,104753
0000249,higher_occlusion,images__val__0000249_02468_d_0000008.jpg,449edea9d7126b25ef01f0781de76c9c2e75c3691eb3c0dd40c2ba713e9975af,449edea9d7126b25ef01f0781de76c9c2e75c3691eb3c0dd40c2ba713e9975af,111548
0000271,higher_occlusion,images__val__0000271_01201_d_0000379.jpg,eb61d930d6972dc97b0d1137b2868bf55ff170f3373f76451114a03c74ff28c1,eb61d930d6972dc97b0d1137b2868bf55ff170f3373f76451114a03c74ff28c1,161783
0000276,higher_occlusion,images__val__0000276_04001_d_0000527.jpg,4765af1b3656c247bd77dce445c509c1a0b433889f23264d5dce2be4a24844c5,4765af1b3656c247bd77dce445c509c1a0b433889f23264d5dce2be4a24844c5,215269
0000277,higher_occlusion,images__val__0000277_03201_d_0000554.jpg,56a3b5b208ed52f6923e67474ca36029c5fc666ee3c390c0667f9e9e64203232,56a3b5b208ed52f6923e67474ca36029c5fc666ee3c390c0667f9e9e64203232,121239
0000280,higher_occlusion,images__val__0000280_00801_d_0000616.jpg,74c06a93b44b9edf0b1ec680ad6389dd80fb85d0eb0f6a7ff71d9966ac95e566,74c06a93b44b9edf0b1ec680ad6389dd80fb85d0eb0f6a7ff71d9966ac95e566,198455
0000287,higher_occlusion,images__val__0000287_01001_d_0000764.jpg,a643b322b7ec663cde1623bf362914b11e48275719f00cf8ae3d7ab281978721,a643b322b7ec663cde1623bf362914b11e48275719f00cf8ae3d7ab281978721,162710
