domain,image_id,sample_fingerprint,sha256,size_bytes
VisDrone,0000001_03999_d_0000007.jpg,d308e68fe81e3f88502ac8d71b8297a8c80ca1d0d744d6cac25727fd567d2b3f,d308e68fe81e3f88502ac8d71b8297a8c80ca1d0d744d6cac25727fd567d2b3f,424551
VisDrone,0000001_05499_d_0000010.jpg,5a0883d0e8773b0717c4e89e5719aeace55f1d8f14884984bab837a623a51732,5a0883d0e8773b0717c4e89e5719aeace55f1d8f14884984bab837a623a51732,388013
VisDrone,0000022_00500_d_0000005.jpg,d0edc550a71096c2c459c7d060bf45e72af51deb1dfb88ad45d25ebedb700ade,d0edc550a71096c2c459c7d060bf45e72af51deb1dfb88ad45d25ebedb700ade,72128
VisDrone,0000022_01036_d_0000006.jpg,b444df95836457c96613401bd1367095daf3c63f0fc891ba8b4a9d2211aa0ba4,b444df95836457c96613401bd1367095daf3c63f0fc891ba8b4a9d2211aa0ba4,65497
VisDrone,0000022_01251_d_0000007.jpg,a5666fe77fa867840bcee14035519cabfce020ecb71a73df6f355740f6577c41,a5666fe77fa867840bcee14035519cabfce020ecb71a73df6f355740f6577c41,73777
VisDrone,0000023_01233_d_0000011.jpg,0745a2292c92123fbce7d8e314cc11e1dd3ea3e6cbb9aeb216de479a71c7a7cd,0745a2292c92123fbce7d8e314cc11e1dd3ea3e6cbb9aeb216de479a71c7a7cd,67015
VisDrone,0000024_01000_d_0000014.jpg,0633cf1f0ab2c2d8fcde55d014465d875433cac69edbb643e8b9485f60ba1269,0633cf1f0ab2c2d8fcde55d014465d875433cac69edbb643e8b9485f60ba1269,87745
VisDrone,0000024_01543_d_0000015.jpg,060a42ec3ff7f4f601f91dadcc2acb2dadea6a1ab05ad79525c8784dc586e3ff,060a42ec3ff7f4f601f91dadcc2acb2dadea6a1ab05ad79525c8784dc586e3ff,113419
VisDrone,0000026_00000_d_0000024.jpg,be751662933a2f2d4d30adc4e47334cc66b14c93450e067ccf8a97d8da8729f6,be751662933a2f2d4d30adc4e47334cc66b14c93450e067ccf8a97d8da8729f6,182794
VisDrone,0000026_00500_d_0000025.jpg,993376b691f28c6f424bd6545df84e2d87c69ebe7075cd2d55faace64b474f5d,993376b691f28c6f424bd6545df84e2d87c69ebe7075cd2d55faace64b474f5d,150402
VisDrone,0000026_02500_d_0000029.jpg,e05a504c45eb933ea1dce333cdec75f44572754f3c61e2b2502bf84db2cc1d3a,e05a504c45eb933ea1dce333cdec75f44572754f3c61e2b2502bf84db2cc1d3a,167200
VisDrone,0000086_00592_d_0000002.jpg,2ef2cc4b0d13bbd04a524d3a44639884a3eac8f88ec04342674b56e79aa844f2,2ef2cc4b0d13bbd04a524d3a44639884a3eac8f88ec04342674b56e79aa844f2,90071
VisDrone,0000103_00180_d_0000026.jpg,a8a1f532e31498e35aed6dc795f78164da09511c8d13e17a5ffaf76d62f7fe52,a8a1f532e31498e35aed6dc795f78164da09511c8d13e17a5ffaf76d62f7fe52,87518
VisDrone,0000103_01734_d_0000028.jpg,17ef972a75056f32b27b849596e8fedec70b4150dc3479a9cd0de039ee0e4fb2,17ef972a75056f32b27b849596e8fedec70b4150dc3479a9cd0de039ee0e4fb2,114208
VisDrone,0000103_04513_d_0000034.jpg,601699857a77acecd6d9e57552b123846b4e634bb2cb67998855d840b5ead0c8,601699857a77acecd6d9e57552b123846b4e634bb2cb67998855d840b5ead0c8,101470
VisDrone,0000115_00315_d_0000080.jpg,19a3fdf81cfbdac963e29d571a3590d9c951d2045c6360a2c0f31ad1e57dfad5,19a3fdf81cfbdac963e29d571a3590d9c951d2045c6360a2c0f31ad1e57dfad5,64371
