annotation_id,image_id,file_name,category_id,class_name,width_px,height_px,area_px,area_fraction,aspect_ratio,small,area_bin,aspect_bin,width_bin,height_bin
1,1,0000001_02999_d_0000005.jpg,4,car,54.0,91.99980000000005,4967.989200000003,0.0023958281250000013,0.5869577977343425,False,out_of_range,tall,32_64px,64px_plus
2,1,0000001_02999_d_0000005.jpg,4,car,62.000639999999976,91.99980000000005,5704.046479872001,0.0027507940200000008,0.6739214650466625,False,out_of_range,tall,32_64px,64px_plus
3,1,0000001_02999_d_0000005.jpg,4,car,67.0003200000001,110.00016000000005,7370.045920051214,0.0035542273920000068,0.6090929322284628,False,out_of_range,tall,64px_plus,64px_plus
4,1,0000001_02999_d_0000005.jpg,10,motor,27.00095999999985,54.0,1458.051839999992,0.0007031499999999961,0.500017777777775,False,out_of_range,tall,16_32px,32_64px
5,1,0000001_02999_d_0000005.jpg,2,people,19.000319999999874,37.99980000000005,722.0083599359962,0.00034819075999999817,0.500011052689747,True,large_small,tall,16_32px,32_64px
6,1,0000001_02999_d_0000005.jpg,10,motor,48.00000000000006,46.00044000000014,2208.0211200000094,0.0010648250000000045,1.0434682798686254,False,out_of_range,near_square,32_64px,32_64px
7,1,0000001_02999_d_0000005.jpg,1,pedestrian,27.00096000000002,25.999919999999975,702.0227999231998,0.00033855266199999995,1.0385016569281769,True,large_small,near_square,16_32px,16_32px
8,1,0000001_02999_d_0000005.jpg,1,pedestrian,27.00096000000002,48.99959999999987,1323.0362396159976,0.0006380383099999988,0.5510444983224372,False,out_of_range,tall,16_32px,32_64px
9,1,0000001_02999_d_0000005.jpg,8,awning-tricycle,55.00031999999999,51.99984000000006,2860.007839948803,0.0013792476080000014,1.0577017160052784,False,out_of_range,near_square,32_64px,32_64px
10,1,0000001_02999_d_0000005.jpg,2,people,19.000320000000045,35.99964000000011,684.0046798848037,0.0003298633680000018,0.5277919445861121,True,large_small,tall,16_32px,32_64px
11,1,0000001_02999_d_0000005.jpg,8,awning-tricycle,60.0,60.99948000000006,3659.9688000000037,0.0017650312500000018,0.9836149422913103,False,out_of_range,near_square,32_64px,32_64px
12,1,0000001_02999_d_0000005.jpg,10,motor,39.00096000000002,44.000279999999975,1716.0531602688,0.000827571933,0.8863798139466394,False,out_of_range,near_square,32_64px,32_64px
13,1,0000001_02999_d_0000005.jpg,10,motor,56.000639999999976,43.00019999999995,2408.038720127996,0.0011612841049999981,1.3023344077469416,False,out_of_range,near_square,32_64px,32_64px
14,1,0000001_02999_d_0000005.jpg,7,tricycle,93.00095999999996,42.00012000000004,3906.051480115202,0.0018837053820000011,2.214302244850726,False,out_of_range,very_wide,64px_plus,32_64px
15,1,0000001_02999_d_0000005.jpg,10,motor,50.000639999999976,58.00031999999999,2900.053120204798,0.001398559567999999,0.862075243722793,False,out_of_range,near_square,32_64px,32_64px
16,1,0000001_02999_d_0000005.jpg,7,tricycle,68.99904000000004,39.99995999999999,2759.9588400384005,0.0013309986690000003,1.7249777249777265,False,out_of_range,wide,64px_plus,32_64px
17,1,0000001_02999_d_0000005.jpg,10,motor,49.00031999999999,33.999480000000176,1665.9853998336082,0.000803426601000004,1.4412079243564824,False,out_of_range,wide,32_64px,32_64px
18,1,0000001_02999_d_0000005.jpg,10,motor,48.0,31.0003200000001,1488.0153600000049,0.0007176000000000024,1.5483711135884999,False,out_of_range,wide,32_64px,16_32px
19,1,0000001_02999_d_0000005.jpg,10,motor,45.999360000000024,29.000160000000164,1333.9887998976083,0.000643320216000004,1.586176076269916,False,out_of_range,wide,32_64px,16_32px
20,1,0000001_02999_d_0000005.jpg,10,motor,45.00095999999985,29.00016000000005,1305.035040153598,0.000629357175999999,1.5517486800072748,False,out_of_range,wide,32_64px,16_32px
21,1,0000001_02999_d_0000005.jpg,10,motor,50.000639999999976,26.999999999999886,1350.0172799999937,0.000651049999999997,1.8518755555555624,False,out_of_range,wide,32_64px,16_32px
22,1,0000001_02999_d_0000005.jpg,8,awning-tricycle,48.0,48.99959999999999,2351.9807999999994,0.0011342499999999996,0.9795998334680286,False,out_of_range,near_square,32_64px,32_64px
23,1,0000001_02999_d_0000005.jpg,10,motor,56.00064000000009,34.99956000000009,1959.9977597184081,0.0009452149690000039,1.6000384004827475,False,out_of_range,wide,32_64px,32_64px
24,1,0000001_02999_d_0000005.jpg,8,awning-tricycle,63.000959999999964,58.00031999999999,3654.0758403071973,0.0017621893519999988,1.0862174553519701,False,out_of_range,near_square,32_64px,32_64px
25,1,0000001_02999_d_0000005.jpg,8,awning-tricycle,45.99936000000014,51.99984000000006,2391.95936010241,0.0011535297840000048,0.8846057987870748,False,out_of_range,near_square,32_64px,32_64px
26,1,0000001_02999_d_0000005.jpg,8,awning-tricycle,45.000959999999964,42.000119999999924,1890.045720115195,0.0009114803819999976,1.0714483672903803,False,out_of_range,near_square,32_64px,32_64px
27,1,0000001_02999_d_0000005.jpg,10,motor,49.00031999999999,37.99980000000005,1862.002359936002,0.000897956385000001,1.2894888920467982,False,out_of_range,near_square,32_64px,32_64px
28,1,0000001_02999_d_0000005.jpg,10,motor,42.0,29.000160000000164,1218.006720000007,0.0005873875000000033,1.4482678716255277,False,out_of_range,wide,32_64px,16_32px
29,1,0000001_02999_d_0000005.jpg,10,motor,43.000319999999874,30.000240000000076,1290.0199200767995,0.0006221160879999998,1.4333325333397255,False,out_of_range,wide,32_64px,16_32px
30,1,0000001_02999_d_0000005.jpg,10,motor,40.9996799999999,26.999999999999886,1106.9913599999927,0.0005338499999999965,1.5185066666666693,False,out_of_range,wide,32_64px,16_32px
31,1,0000001_02999_d_0000005.jpg,10,motor,45.000959999999964,30.000240000000076,1350.0396002304024,0.0006510607640000011,1.5000199998399963,False,out_of_range,wide,32_64px,16_32px
